,GEO_ID,FSRR2010
79,0500000US29207,68
80,0500000US29209,52.4
81,0500000US29211,58
82,0500000US29213,48.7
83,0500000US29215,65
84,0500000US29217,64.2
85,0500000US29219,63.6
86,0500000US29221,54.3
87,0500000US29223,47.9
88,0500000US29225,68.9
89,0500000US29227,59.2
90,0500000US29229,64.5
91,0500000US29510,56.7
92,0500000US29067,63.2
93,0500000US29075,67.7
94,0500000US29081,63.6
95,0500000US29089,61.1
96,0500000US29095,66.6
97,0500000US29103,58.7
98,0500000US29109,67.6
99,0500000US29115,67
100,0500000US29121,67.7
101,0500000US29127,71.9
102,0500000US29135,69.1
103,0500000US29141,46.5
104,0500000US29147,69.1
105,0500000US29155,55.2
106,0500000US29163,66.7
107,0500000US29169,57
108,0500000US29175,66.3
109,0500000US29183,77.3
110,0500000US29187,64.9
111,0500000US29199,66
112,0500000US29003,72.7
113,0500000US29097,66.9
114,0500000US29007,70
115,0500000US29113,69.8
1,0500000US35003,22.5
2,0500000US35005,64.4
3,0500000US35006,48.6
4,0500000US35007,40.6
5,0500000US35009,58.7
6,0500000US35011,47.2
7,0500000US35013,60.1
8,0500000US35015,61.9
9,0500000US35017,49.9
10,0500000US35019,43.2
11,0500000US35027,35.2
12,0500000US35021,47
13,0500000US35023,54.3
14,0500000US35025,60.8
15,0500000US35028,77.5
16,0500000US35029,56.6
17,0500000US35031,54.5
18,0500000US35033,42.4
19,0500000US35035,49.9
20,0500000US35037,46.8
21,0500000US35039,41.9
22,0500000US35041,59.4
23,0500000US35043,65.6
24,0500000US35045,59.4
25,0500000US35047,43.1
26,0500000US35049,60.7
27,0500000US35051,45.2
28,0500000US35053,49.2
29,0500000US35055,41.7
30,0500000US35057,47.7
31,0500000US35059,49.2
32,0500000US35061,59.1
33,0500000US35001,67.7
1,0500000US37113,42.9
2,0500000US37117,63
3,0500000US37123,33.3
4,0500000US37129,68.5
5,0500000US37137,47.7
6,0500000US37141,62.6
7,0500000US37147,63.9
8,0500000US37153,57.9
9,0500000US37159,65.9
10,0500000US37165,60.6
11,0500000US37171,66.9
12,0500000US37175,52.7
13,0500000US37183,71.8
14,0500000US37189,52.8
15,0500000US37195,65.1
16,0500000US37001,67.1
17,0500000US37119,67.3
18,0500000US37051,64.7
19,0500000US37003,67.3
20,0500000US37005,44.9
21,0500000US37007,55.2
22,0500000US37009,49.8
23,0500000US37011,38.3
24,0500000US37013,61.8
25,0500000US37015,51.3
26,0500000US37017,46.9
27,0500000US37019,53.6
28,0500000US37021,64.7
29,0500000US37023,63.2
30,0500000US37025,70.4
31,0500000US37027,67.9
32,0500000US37029,64
33,0500000US37031,46.9
34,0500000US37033,62.3
35,0500000US37035,68.3
36,0500000US37037,66.7
37,0500000US37039,45.1
38,0500000US37041,65.4
39,0500000US37043,50.1
40,0500000US37045,65.6
41,0500000US37047,57.9
42,0500000US37049,68.3
43,0500000US37053,58.6
44,0500000US37055,45.6
45,0500000US37057,68.4
46,0500000US37061,51.6
47,0500000US37063,67.7
48,0500000US37067,68.5
49,0500000US37069,62
50,0500000US37073,58.9
51,0500000US37075,31.1
52,0500000US37079,61.1
53,0500000US37081,68.5
54,0500000US37085,61.8
55,0500000US37087,53.1
56,0500000US37091,58.9
57,0500000US37093,63.2
58,0500000US37097,69.9
59,0500000US37099,33.7
60,0500000US37103,59.7
61,0500000US37105,67.7
62,0500000US37109,69
63,0500000US37111,57.7
64,0500000US37115,54.3
65,0500000US37121,55.3
66,0500000US37125,61.1
67,0500000US37127,67
68,0500000US37131,46.1
69,0500000US37133,65.6
70,0500000US37135,73
71,0500000US37139,68.2
72,0500000US37143,62.7
73,0500000US37145,68.7
74,0500000US37149,52.1
75,0500000US37151,67.7
76,0500000US37155,54.9
77,0500000US37167,63.6
78,0500000US37157,69.3
79,0500000US37161,57.2
80,0500000US37163,59.5
81,0500000US37169,65.7
82,0500000US37173,33.9
83,0500000US37177,51.1
84,0500000US37179,73.5
85,0500000US37181,63.3
86,0500000US37185,53.6
87,0500000US37187,58.2
88,0500000US37191,65.9
89,0500000US37193,62.7
90,0500000US37197,65.5
91,0500000US37199,48.2
92,0500000US37059,68.1
93,0500000US37065,64.4
94,0500000US37071,68.3
95,0500000US37077,65.7
96,0500000US37083,59.4
97,0500000US37089,60.5
98,0500000US37095,48.4
