,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
192,21.4,16.4,0.8,0.8,0.8,0.8,0500000US48471
193,22.2,18.1,0.7,0.6,0.7,0.7,0500000US48473
194,21.6,9.7,0.7,0.7,0.7,0.7,0500000US48475
195,31.2,18.3,0.9,0.9,0.9,0.9,0500000US48477
196,17,13.5,0.7,0.7,0.8,0.8,0500000US48479
197,26.8,14.2,0.6,0.6,0.7,0.7,0500000US48481
198,18.9,7.1,0.8,0.8,0.8,0.8,0500000US48483
199,33.6,27,1.8,1.8,1.9,1.8,0500000US48485
200,11.5,4.3,0.5,0.4,0.5,0.4,0500000US48489
201,31.9,31.4,1.8,1.8,1.8,1.8,0500000US48491
202,20.3,9.5,1.1,1.1,1.3,1.3,0500000US48495
203,27.6,23.9,1.4,1.4,1.4,1.4,0500000US48497
204,29.8,21.3,1.1,1.1,1.1,1,0500000US48499
205,27.3,18.1,1.1,1.1,1.1,1.1,0500000US48503
206,5.4,3,0.1,0.1,0.1,0.1,0500000US48505
207,6.3,3.3,0.8,0.8,0.8,0.8,0500000US48081
208,26,9.1,0.6,0.6,0.6,0.6,0500000US48087
209,28.4,21.3,1.3,1.3,1.4,1.3,0500000US48097
210,23.7,9.2,1.3,1.2,1.3,1.2,0500000US48103
211,20.4,8.5,0.4,0.3,0.4,0.4,0500000US48111
212,27.1,10.6,0.7,0.6,0.7,0.6,0500000US48117
213,11.8,4.3,0.1,0.1,0.2,0.2,0500000US48127
214,23.3,8.6,0.7,0.6,0.7,0.7,0500000US48133
215,25.4,14.3,0.9,0.9,0.8,0.8,0500000US48149
216,34.6,33.8,1.5,1.5,1.5,1.5,0500000US48157
217,16.9,12.9,0.7,0.7,0.7,0.7,0500000US48165
218,9.1,9.1,0,0,0,0,0500000US48173
219,30.9,26,1.4,1.4,1.4,1.4,0500000US48181
220,21.3,17.6,0.9,0.8,0.8,0.8,0500000US48189
221,19.7,8.1,0.5,0.5,0.5,0.5,0500000US48195
222,28.4,19.2,1,1,1,1,0500000US48203
223,31.4,21.7,1,1,1,1,0500000US48281
224,19.5,14.3,0.7,0.7,0.7,0.7,0500000US48291
225,8.3,3.9,0.3,0.3,0.3,0.3,0500000US48297
226,11.6,10,0.9,0.9,0.9,0.9,0500000US48305
227,2.5,1.2,0.2,0.2,0.2,0.2,0500000US48311
228,16.3,10.9,0.7,0.7,0.7,0.7,0500000US48321
229,2.3,1.4,0.2,0.2,0.2,0.2,0500000US48327
230,21.3,8.7,0.9,0.9,1,0.9,0500000US48335
231,23.9,9.4,0.8,0.7,0.8,0.7,0500000US48343
232,28,18.1,0.9,0.9,0.9,0.9,0500000US48349
233,27.7,22.8,1.3,1.2,1.4,1.3,0500000US48357
234,26.4,11.9,1,0.9,1,0.9,0500000US48365
235,20.9,11.1,0.7,0.7,0.7,0.7,0500000US48373
236,34.5,33.5,1.2,1.2,1.2,1.2,0500000US48381
237,28.5,8.9,0.4,0.4,0.4,0.4,0500000US48387
238,22.3,9.7,0.6,0.6,0.6,0.6,0500000US48395
239,10.3,4.7,0.4,0.4,0.4,0.3,0500000US48405
240,28.6,21.5,1,1,1.1,1.1,0500000US48493
241,16.2,7.5,0.5,0.5,0.6,0.6,0500000US48501
242,12.8,4.7,0.2,0.2,0.3,0.3,0500000US48507
243,32.3,28.8,1.6,1.6,1.6,1.6,0500000US48187
244,32,20.5,1.3,1.3,1.3,1.3,0500000US48223
245,4.3,2.7,0.5,0.5,0.5,0.5,0500000US48317
246,30,19.1,1.1,1,1.3,1.2,0500000US48487
247,17.9,5.9,0.3,0.3,0.3,0.3,0500000US48079
248,28.5,19.1,0.8,0.8,0.9,0.9,0500000US48199
249,25.8,18.2,1.2,1.2,1.2,1.2,0500000US48217
250,0,0,0,0,0,0,0500000US48301
251,18.4,18.3,0.7,0.7,0.8,0.8,0500000US48425
252,27.8,23,1.2,1.2,1.3,1.3,0500000US48141
253,24.6,19,1.3,1.2,1.3,1.2,0500000US48449
254,24.7,15.1,0.9,0.8,0.9,0.8,0500000US48073
1,42,30.3,2.2,2.2,2.3,2.3,0500000US18001
2,40.3,36.9,1.8,1.8,1.9,1.8,0500000US18003
3,36,34.1,1.9,1.9,1.9,1.9,0500000US18005
4,33.5,20,1.8,1.7,1.8,1.8,0500000US18007
5,35.5,19.6,2,1.9,1.9,1.9,0500000US18009
6,40.6,40.4,2.2,2.2,2.1,2.1,0500000US18011
7,31.1,14.8,1.1,1.1,1.1,1.1,0500000US18013
8,36.9,23.9,1.7,1.7,1.6,1.6,0500000US18015
9,37.5,25,1.8,1.8,1.7,1.7,0500000US18017
10,35.9,32.3,1.1,1.1,1.1,1.1,0500000US18019
11,36.4,19.8,1.3,1.3,1.3,1.3,0500000US18021
12,34.4,31.4,2,2,2,2,0500000US18023
13,31.5,8.3,0.9,0.9,0.9,0.9,0500000US18025
14,45.8,19,1.6,1.6,1.6,1.6,0500000US18027
15,38,37.6,2.7,2.7,2.7,2.6,0500000US18033
16,35.4,26.8,1.5,1.4,1.5,1.5,0500000US18035
17,46.5,36.3,2,2,2,2,0500000US18037
18,36.9,31,1.7,1.7,1.7,1.7,0500000US18039
19,39.9,19.2,1.6,1.6,1.6,1.6,0500000US18041
20,38.6,35.2,1.4,1.4,1.4,1.4,0500000US18043
21,41.2,15.1,1.3,1.3,1.3,1.3,0500000US18045
22,36.5,25.7,1.2,1.2,1.2,1.2,0500000US18047
23,34.4,27.6,1.9,1.9,2.1,2,0500000US18049
24,37.4,25.8,1.6,1.6,1.6,1.6,0500000US18051
25,33.4,26.9,1.5,1.5,1.5,1.5,0500000US18053
26,33.1,19,1.3,1.3,1.3,1.3,0500000US18055
27,41.7,41.5,2,2,2,2,0500000US18057
28,40.5,40.1,1.9,1.9,1.9,1.9,0500000US18059
29,37.5,28.9,1.3,1.3,1.3,1.3,0500000US18061
30,41.8,41.5,1.9,1.9,2,2,0500000US18063
31,36.3,23.5,1.6,1.6,1.6,1.6,0500000US18065
32,36.1,27.9,1.5,1.5,1.5,1.5,0500000US18067
33,37.8,34,2,2,2,2,0500000US18069
34,36.5,27.3,1.8,1.7,1.8,1.7,0500000US18071
35,39.5,32.7,2,1.9,2.1,2,0500000US18073
36,39.5,22.2,1.1,1.1,1.1,1.1,0500000US18075
37,35.9,27.6,1.7,1.7,1.7,1.7,0500000US18077
38,34.8,22,2.2,2.2,2.1,2,0500000US18079
39,40.5,37.8,1.9,1.9,1.9,1.9,0500000US18081
40,35.1,21.5,1.6,1.6,1.6,1.6,0500000US18083
41,32,28.9,1.6,1.6,1.6,1.6,0500000US18085
42,44.1,15.5,1,1,1,1,0500000US18087
43,36.9,31.9,1.6,1.6,1.7,1.7,0500000US18089
44,35.8,30.3,1.7,1.7,1.8,1.8,0500000US18091
45,35.4,24,1.6,1.6,1.6,1.6,0500000US18093
46,34.9,28.5,1.6,1.6,1.6,1.6,0500000US18095
47,33.8,30.1,1.6,1.6,1.6,1.6,0500000US18097
48,36.1,30.2,1.8,1.7,1.8,1.8,0500000US18099
49,40.8,12.4,0.8,0.8,0.8,0.8,0500000US18101
